time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
numal-k-means,351080.,0.,351089.,0.,351089.,0.,361022.,0.,361022.,0.
numal-levinson-durbin,33716.,0.,33720.,0.,33720.,0.,47317.,0.,40746.,0.
numal-lu-decomposition,156739.,0.,156740.,0.,156738.,0.,297668.,0.,297633.,0.
numal-naive-multilayer,1256082.,0.,1259210.,0.,1256092.,0.,1283767.,0.,1282438.,0.
numal-qr-decomposition,2594615.,0.,2594414.,0.,2594424.,0.,2682974.,0.,2693569.,0.
numal-rnd_access,136.,0.,140.,0.,138.,0.,140.,0.,138.,0.
numal-simple_access,188961054.,0.,188961058.,0.,188961056.,0.,200001888.,0.,200001886.,0.
patdiff,,,,,,,6522407.,0.,,
sequence,37208.,0.,37206.,0.,37210.,0.,37749.,0.,38258.,0.
sequence-cps,201319.,0.,201323.,0.,201323.,0.,214872.,0.,222795.,0.
setrip,4912.,0.,4952.,0.,4952.,0.,5086.,0.,5076.,0.
setrip-smallbuf,4980.,0.,5038.,0.,5038.,0.,5086.,0.,5048.,0.

top_heap_words,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,36864.,0.,32768.,0.,32768.,0.,491520.,0.,491520.,0.
bdd,573081.,0.,573081.,0.,573081.,0.,565248.,0.,650240.,0.
cpdf-merge,43087817.,nan,42903778.,nan,41250573.,nan,49650688.,0.,43174400.,0.
cpdf-reformat,30748513.,nan,30736225.,nan,30748513.,nan,32645632.,0.,28387328.,0.
cpdf-squeeze,39039677.,0.,39037390.,0.,39037390.,0.,43174400.,0.,37542912.,0.
cpdf-transform,15729863.,0.,15729863.,0.,15729863.,0.,19150848.,0.,14480384.,0.
frama-c-deflate,,,,,,,,,88571904.,0.
frama-c-idct,,,,,,,,,4685824.,nan
frama-c-monocypher,,,,,,,,,4685824.,nan
jsontrip-sample,94607.,0.,94607.,0.,94607.,0.,565248.,0.,491520.,0.
kb,442368.,0.,446464.,0.,446464.,0.,587264.,0.,565248.,0.
kb-no-exc,507904.,nan,507904.,nan,507904.,nan,628224.,0.,646656.,0.
lexifi-g2pp,156643.,0.,156643.,0.,152547.,0.,593408.,0.,593408.,0.
menhir-fancy,357902.,0.,357664.,0.,357664.,0.,491520.,0.,491520.,0.
menhir-list-errors,399419744.,nan,399731040.,nan,,,,,616220160.,0.
menhir-sql,49836494.,nan,48188043.,nan,48192139.,nan,49650688.,0.,43174400.,0.
menhir-standard,324216.,0.,323978.,0.,323978.,0.,491520.,0.,491520.,0.
menhir-sysver,95497467.,nan,94239995.,nan,,,,,91529728.,0.
minilight,1106522.,0.,1106522.,0.,1106522.,0.,860672.,0.,748032.,0.
numal-durand-kerner-aberth,49152.,0.,45056.,0.,49152.,0.,565248.,0.,565248.,0.
numal-fft,55193618.,0.,55193618.,0.,55197714.,0.,85220352.,0.,129609728.,0.
numal-k-means,560227.,0.,564323.,0.,564323.,0.,596992.,0.,596992.,0.
numal-levinson-durbin,18155498.,0.,18155498.,0.,18155498.,0.,565248.,0.,565248.,0.
numal-lu-decomposition,4680084.,0.,4675988.,0.,4680084.,0.,8068096.,0.,8068096.,0.
numal-naive-multilayer,74082.,0.,69986.,0.,74082.,0.,565248.,0.,565248.,0.
numal-qr-decomposition,1263373.,0.,1263179.,0.,1263179.,0.,491520.,0.,491520.,0.
numal-rnd_access,200032771.,0.,200032771.,0.,200032771.,0.,360491520.,0.,360491520.,0.
numal-simple_access,209263875.,0.,209259779.,0.,209263875.,0.,224531968.,0.,224531968.,0.
patdiff,,,,,,,3861504.,0.,,
sequence,32768.,0.,36864.,0.,36864.,0.,565248.,0.,565248.,0.
sequence-cps,32768.,0.,32768.,0.,32768.,0.,565248.,0.,565248.,0.
setrip,65539.,0.,65539.,0.,65539.,0.,565248.,0.,565248.,0.
setrip-smallbuf,65539.,0.,65539.,0.,65539.,0.,565248.,0.,565248.,0.

minor_collections,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,1.,0.,1.,0.,1.,0.,44.,0.,44.,0.
bdd,291.,0.,291.,0.,291.,0.,294.,0.,295.,0.
cpdf-merge,733.,nan,730.,nan,714.,nan,771.,0.,772.,0.
cpdf-reformat,1694.,nan,1694.,nan,1694.,nan,1726.,0.,1725.,0.
cpdf-squeeze,1476.,0.,1476.,0.,1476.,0.,1561.,0.,1560.,0.
cpdf-transform,214.,0.,214.,0.,214.,0.,221.,0.,220.,0.
frama-c-deflate,,,,,,,,,9450.33333333,0.57735026919
frama-c-idct,,,,,,,,,93.,nan
frama-c-monocypher,,,,,,,,,35.,nan
jsontrip-sample,17.,0.,17.,0.,17.,0.,29.,0.,28.,0.
kb,341.,0.,343.,0.,341.,0.,387.,0.,385.,0.
kb-no-exc,143.,nan,143.,nan,143.,nan,170.,0.,168.,0.
lexifi-g2pp,6038.,0.,6038.,0.,6023.,0.,6407.,0.,6409.,0.
menhir-fancy,5.,0.,5.,0.,5.,0.,9.,0.,9.,0.
menhir-list-errors,9102.,nan,9282.,nan,,,,,9739.,0.
menhir-sql,3913.,nan,3867.,nan,3867.,nan,3966.,0.,3967.,0.
menhir-standard,4.,0.,4.,0.,4.,0.,5.,0.,5.,0.
menhir-sysver,31186.,nan,31186.,nan,,,,,31937.,0.
