time_real,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
numal-levinson-durbin,18155498.,0.,18155498.,0.,565248.,0.,565248.,0.
numal-lu-decomposition,4680084.,0.,4680084.,0.,8068096.,0.,8068096.,0.
numal-naive-multilayer,74082.,0.,74082.,0.,565248.,0.,565248.,0.
numal-qr-decomposition,1263373.,0.,1263179.,0.,491520.,0.,491520.,0.
numal-rnd_access,200032771.,0.,200032771.,0.,360491520.,0.,360491520.,0.
numal-simple_access,209263875.,0.,209263875.,0.,224531968.,0.,224531968.,0.
patdiff,,,,,3861504.,0.,3861504.,0.
sequence,32768.,0.,36864.,0.,565248.,0.,565248.,0.
sequence-cps,32768.,0.,32768.,0.,565248.,0.,565248.,0.
setrip,65539.,0.,65539.,0.,565248.,0.,565248.,0.
setrip-smallbuf,65539.,0.,65539.,0.,565248.,0.,565248.,0.

minor_collections,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,1.,0.,1.,0.,44.,0.,44.,0.
bdd,291.,0.,291.,0.,294.,0.,295.,0.
cpdf-merge,733.,nan,714.,nan,771.,0.,772.,0.
cpdf-reformat,1694.,nan,1694.,nan,1726.,0.,1725.,0.
cpdf-squeeze,1476.,0.,1476.,0.,1561.,0.,1560.,0.
cpdf-transform,214.,0.,214.,0.,221.,0.,220.,0.
frama-c-deflate,,,,,,,9450.66666667,0.57735026919
frama-c-idct,,,,,,,93.,nan
jsontrip-sample,17.,0.,17.,0.,29.,0.,28.,0.
kb,341.,0.,341.,0.,387.,0.,385.,0.
kb-no-exc,143.,nan,143.,nan,170.,0.,168.,0.
lexifi-g2pp,6038.,0.,6023.,0.,6407.,0.,6409.,0.
menhir-fancy,5.,0.,5.,0.,9.,0.,9.,0.
menhir-list-errors,9282.,nan,,,,,9739.,0.
menhir-sql,3867.,nan,3867.,nan,3966.,0.,3967.,0.
menhir-standard,4.,0.,4.,0.,5.,0.,5.,0.
menhir-sysver,31186.,nan,,,,,31937.,0.
minilight,36863.,0.,36867.,0.,37210.,0.,37211.,0.
numal-durand-kerner-aberth,290.,0.,290.,0.,338.,0.,338.,0.
numal-fft,183.,0.,183.,0.,185.,0.,185.,0.
numal-k-means,2.,0.,2.,0.,391.,0.,391.,0.
numal-levinson-durbin,3676.,0.,3676.,0.,6385.,0.,4885.,0.
numal-lu-decomposition,20.,0.,20.,0.,2098.,0.,2097.,0.
numal-naive-multilayer,8253.,0.,8253.,0.,8352.,0.,8352.,0.
numal-qr-decomposition,6274.,0.,6273.,0.,6560.,0.,6552.,0.
numal-rnd_access,1.,0.,1.,0.,763.142857143,0.377964473009,763.25,0.5
numal-simple_access,866.,0.,866.,0.,2445.,0.,2446.,0.
patdiff,,,,,149.,0.,151.,0.
sequence,2853.,0.,2853.,0.,2898.,0.,2931.,0.
sequence-cps,5725.,0.,5725.,0.,6002.,0.,6176.,0.
setrip,634.,0.,639.,0.,654.,0.,656.,0.
setrip-smallbuf,643.,0.,645.,0.,654.,0.,655.,0.

major_collections,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,1.,0.,1.,0.,0.,0.,0.,0.
bdd,5.,0.,5.,0.,4.,0.,5.,0.
cpdf-merge,30.,nan,30.,nan,24.,0.,24.,0.
cpdf-reformat,29.,nan,29.,nan,25.,0.,24.,0.
cpdf-squeeze,36.,0.,36.,0.,33.,0.,32.,0.
cpdf-transform,15.,0.,15.,0.,13.,0.,13.,0.
frama-c-deflate,,,,,,,24.,0.
frama-c-idct,,,,,,,5.,nan
jsontrip-sample,2.,0.,2.,0.,4.,0.,2.,0.
kb,65.,0.,67.,0.,67.,0.,63.,0.
kb-no-exc,57.,nan,56.,nan,43.,0.,40.,0.
lexifi-g2pp,11.,0.,11.,0.,8.,0.,11.,0.
menhir-fancy,1.,0.,1.,0.,1.,0.,1.,0.
menhir-list-errors,36.,nan,,,,,31.,0.
menhir-sql,15.,nan,15.,nan,16.,0.,17.,0.
menhir-standard,1.,0.,1.,0.,1.,0.,1.,0.
menhir-sysver,38.,nan,,,,,56.,0.
minilight,38.,0.,38.,0.,53.,0.,56.,0.
numal-durand-kerner-aberth,47.,0.,47.,0.,86.,0.,85.,0.
numal-fft,10.,0.,10.,0.,4.,0.,3.,0.
numal-k-means,2.,0.,2.,0.,0.,0.,0.,0.
numal-levinson-durbin,72.,0.,72.,0.,3840.,0.,1755.,0.
numal-lu-decomposition,3.,0.,3.,0.,5.,0.,5.,0.
numal-naive-multilayer,129.,0.,129.,0.,143.,0.,143.,0.
numal-qr-decomposition,9.,0.,9.,0.,50.,0.,40.,0.
numal-rnd_access,1.,0.,1.,0.,0.,0.,0.,0.
numal-simple_access,5.,0.,5.,0.,6.,0.,8.,0.
patdiff,,,,,10.,0.,10.,0.
sequence,165.,0.,156.,0.,70.,0.,136.,0.
sequence-cps,961.,0.,961.,0.,550.,0.,898.,0.
setrip,13.,0.,13.,0.,6.,0.,10.,0.
setrip-smallbuf,13.,0.,13.,0.,6.,0.,9.,0.

compactions,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,,,,,0.,0.,0.,0.
bdd,,,,,0.,0.,0.,0.
cpdf-merge,,,,,0.,0.,0.,0.
cpdf-reformat,,,,,0.,0.,0.,0.
cpdf-squeeze,,,,,0.,0.,0.,0.
cpdf-transform,,,,,0.,0.,0.,0.
frama-c-deflate,,,,,,,0.,0.
frama-c-idct,,,,,,,0.,nan
jsontrip-sample,,,,,2.,0.,0.,0.
kb,,,,,4.,0.,3.,0.
kb-no-exc,,,,,6.,0.,3.,0.
lexifi-g2pp,,,,,2.,0.,2.,0.
menhir-fancy,,,,,0.,0.,0.,0.
menhir-list-errors,,,,,,,0.,0.
menhir-sql,,,,,0.,0.,0.,0.
menhir-standard,,,,,0.,0.,0.,0.
menhir-sysver,,,,,,,0.,0.
minilight,,,,,0.,0.,0.,0.
numal-durand-kerner-aberth,,,,,2.,0.,2.,0.
numal-fft,,,,,0.,0.,0.,0.
numal-k-means,,,,,0.,0.,0.,0.
numal-levinson-durbin,,,,,1245.,0.,382.,0.
numal-lu-decomposition,,,,,0.,0.,0.,0.
numal-naive-multilayer,,,,,2.,0.,2.,0.
numal-qr-decomposition,,,,,0.,0.,0.,0.
numal-rnd_access,,,,,0.,0.,0.,0.
numal-simple_access,,,,,0.,0.,0.,0.
patdiff,,,,,1.,0.,1.,0.
sequence,,,,,2.,0.,2.,0.
sequence-cps,,,,,2.,0.,2.,0.
setrip,,,,,2.,0.,2.,0.
setrip-smallbuf,,,,,2.,0.,2.,0.

heap_words,4.06.1+multicore+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,36864.,0.,32768.,0.,491520.,0.,491520.,0.
bdd,573081.,0.,573081.,0.,565248.,0.,650240.,0.
cpdf-merge,39245769.,nan,37871373.,nan,49650688.,0.,43174400.,0.
cpdf-reformat,30609141.,nan,30609141.,nan,32645632.,0.,28387328.,0.
