time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
numal-simple_access,208961133.,0.,208961137.,0.,208961135.,0.,208961135.,0.,220001889.,0.,220001887.,0.
patdiff,,,,,,,,,8896447.,0.,,
sequence,37286.,0.,37284.,0.,37288.,0.,37289.,0.,37749.,0.,38258.,0.
sequence-cps,201397.,0.,201401.,0.,201401.,0.,201399.,0.,214872.,0.,222795.,0.
setrip,13191.,0.,13231.,0.,13231.,0.,13034.,0.,13279.,0.,13269.,0.
setrip-smallbuf,13259.,0.,13317.,0.,13317.,0.,13054.,0.,13279.,0.,13241.,0.

promoted_words,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,,4.06.1+trunk+bench,
almabench,897.,0.,903.,0.,901.,0.,897.,0.,941.,0.,939.,0.
bdd,444232.,0.,444236.,0.,444234.,0.,444232.,0.,477943.,0.,525957.,0.
cpdf-merge,81093930.,nan,81102937.,nan,81048705.,nan,81088137.,nan,82892080.,0.,83597842.,0.
cpdf-reformat,64637397.,nan,64637309.,nan,64637341.,nan,64637362.,nan,65460559.,0.,65204357.,0.
cpdf-squeeze,120753140.,0.,120753073.,0.,120753108.,0.,120879420.,0.,123070655.,0.,123068445.,0.
cpdf-transform,26096995.,0.,26097001.,0.,26096999.,0.,26097021.,0.,25930310.,0.,26023697.,0.
frama-c-deflate,,,,,,,,,,,121375221.333,5162.95596856
frama-c-idct,,,,,,,,,,,2253258.,nan
frama-c-monocypher,,,,,,,,,,,1851699.,nan
jsontrip-sample,9989.,0.,10007.,0.,10004.,0.,10025.,0.,13053.,0.,12988.,0.
kb,4817779.,0.,4851056.,0.,4817520.,0.,4807004.,0.,4908177.,0.,4873136.,0.
kb-no-exc,4644330.,nan,4644313.,nan,4644313.,nan,4644332.,nan,4671664.,0.,4699054.,0.
lexifi-g2pp,266384.,0.,266388.,0.,265821.,0.,266384.,0.,280169.,0.,278186.,0.
menhir-fancy,141602.,0.,140835.,0.,140832.,0.,141640.,0.,179489.,0.,179507.,0.
menhir-list-errors,411869596.,nan,417115774.,nan,,,411870189.,nan,,,431254687.,0.
menhir-sql,46252342.,nan,45544086.,nan,45544079.,nan,45547407.,nan,46172576.,0.,46171034.,0.
menhir-standard,106790.,0.,106023.,0.,106019.,0.,106835.,0.,123373.,0.,125424.,0.
menhir-sysver,324380059.,nan,324378418.,nan,,,324404436.,nan,,,329438589.,0.
minilight,10539667.,0.,10537008.,0.,10540715.,0.,10537197.,0.,10625592.,0.,10625106.,0.
numal-durand-kerner-aberth,227896.,0.,227893.,0.,227901.,0.,227901.,0.,237996.,0.,227630.,0.
numal-fft,134541495.,0.,134541499.,0.,134541497.,0.,134541495.,0.,134779254.,0.,135029257.,0.
numal-k-means,351080.,0.,351089.,0.,351089.,0.,351082.,0.,361022.,0.,361022.,0.
