time_real,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,
almabench,,,,,,,0.,0.
bdd,,,,,,,0.,0.
cpdf-merge,,,,,,,0.,0.
cpdf-reformat,,,,,,,0.,0.
cpdf-squeeze,,,,,,,0.,0.
cpdf-transform,,,,,,,0.,0.
jsontrip-sample,,,,,,,2.,0.
kb,,,,,,,4.,0.
kb-no-exc,,,,,,,6.,0.
lexifi-g2pp,,,,,,,2.,0.
menhir-fancy,,,,,,,0.,0.
menhir-sql,,,,,,,0.,0.
menhir-standard,,,,,,,0.,0.
minilight,,,,,,,0.,0.
numal-durand-kerner-aberth,,,,,,,2.,0.
numal-fft,,,,,,,0.,0.
numal-k-means,,,,,,,0.,0.
numal-levinson-durbin,,,,,,,1245.,0.
numal-lu-decomposition,,,,,,,0.,0.
numal-naive-multilayer,,,,,,,2.,0.
numal-qr-decomposition,,,,,,,0.,0.
numal-rnd_access,,,,,,,0.,0.
numal-simple_access,,,,,,,0.,0.
patdiff,,,,,,,1.,0.
sequence,,,,,,,2.,0.
sequence-cps,,,,,,,2.,0.
setrip,,,,,,,2.,0.
setrip-smallbuf,,,,,,,2.,0.

heap_words,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+multicore-lazy+bench,,4.06.1+scheduling+bench,
almabench,32768.,0.,32768.,0.,36864.,0.,491520.,0.
bdd,573081.,0.,573081.,0.,573081.,0.,565248.,0.
cpdf-merge,39053538.,nan,37871373.,nan,39106400.,nan,49650688.,0.
cpdf-reformat,30596853.,nan,30609141.,nan,30609141.,nan,32645632.,0.
cpdf-squeeze,28036569.,0.,28036569.,0.,28232783.,0.,43174400.,0.
cpdf-transform,10593479.,0.,10593479.,0.,10593479.,0.,19150848.,0.
jsontrip-sample,94607.,0.,94607.,0.,90511.,0.,73728.,0.
kb,245760.,0.,225280.,0.,438272.,0.,430080.,0.
kb-no-exc,270336.,nan,270336.,nan,270336.,nan,494592.,0.
lexifi-g2pp,156643.,0.,152547.,0.,156643.,0.,163328.,0.
menhir-fancy,357664.,0.,357664.,0.,357902.,0.,491520.,0.
menhir-list-errors,297658774.,nan,,,297351574.,nan,,
menhir-sql,48188043.,nan,48192139.,nan,48192139.,nan,49650688.,0.
menhir-standard,323978.,0.,323978.,0.,324216.,0.,491520.,0.
menhir-sysver,84510732.,nan,,,84531212.,nan,,
minilight,1094234.,0.,1094234.,0.,1094234.,0.,860672.,0.
numal-durand-kerner-aberth,45056.,0.,49152.,0.,49152.,0.,73728.,0.
numal-fft,50319369.,0.,50323465.,0.,50319369.,0.,85220352.,0.
numal-k-means,564323.,0.,564323.,0.,564323.,0.,596992.,0.
numal-levinson-durbin,18155498.,0.,18155498.,0.,18155498.,0.,245760.,0.
