time_real,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
kb,65.,0.,71.,0.,67.,0.,67.,0.
kb-no-exc,57.,nan,56.,nan,56.,nan,43.,0.
lexifi-g2pp,11.,0.,11.,0.,11.,0.,8.,0.
menhir-fancy,1.,0.,1.,0.,1.,0.,1.,0.
menhir-list-errors,37.,nan,36.,nan,,,,
menhir-sql,15.,nan,15.,nan,15.,nan,16.,0.
menhir-standard,1.,0.,1.,0.,1.,0.,1.,0.
menhir-sysver,38.,nan,38.,nan,,,,
minilight,38.,0.,38.,0.,38.,0.,53.,0.
numal-durand-kerner-aberth,47.,0.,48.,0.,47.,0.,86.,0.
numal-fft,10.,0.,10.,0.,10.,0.,4.,0.
numal-k-means,2.,0.,2.,0.,2.,0.,0.,0.
numal-levinson-durbin,72.,0.,72.,0.,72.,0.,3840.,0.
numal-lu-decomposition,3.,0.,3.,0.,3.,0.,5.,0.
numal-naive-multilayer,129.,0.,132.,0.,129.,0.,143.,0.
numal-qr-decomposition,9.,0.,9.,0.,9.,0.,50.,0.
numal-rnd_access,1.,0.,1.,0.,1.,0.,0.,0.
numal-simple_access,5.,0.,5.,0.,5.,0.,6.,0.
patdiff,,,,,,,10.,0.
sequence,165.,0.,156.,0.,156.,0.,70.,0.
sequence-cps,961.,0.,961.,0.,961.,0.,550.,0.
setrip,13.,0.,13.,0.,13.,0.,6.,0.
setrip-smallbuf,13.,0.,13.,0.,13.,0.,6.,0.

compactions,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,,,,,,,0.,0.
bdd,,,,,,,0.,0.
cpdf-merge,,,,,,,0.,0.
cpdf-reformat,,,,,,,0.,0.
cpdf-squeeze,,,,,,,0.,0.
cpdf-transform,,,,,,,0.,0.
jsontrip-sample,,,,,,,2.,0.
kb,,,,,,,4.,0.
kb-no-exc,,,,,,,6.,0.
lexifi-g2pp,,,,,,,2.,0.
menhir-fancy,,,,,,,0.,0.
menhir-sql,,,,,,,0.,0.
menhir-standard,,,,,,,0.,0.
minilight,,,,,,,0.,0.
numal-durand-kerner-aberth,,,,,,,2.,0.
numal-fft,,,,,,,0.,0.
numal-k-means,,,,,,,0.,0.
numal-levinson-durbin,,,,,,,1245.,0.
numal-lu-decomposition,,,,,,,0.,0.
numal-naive-multilayer,,,,,,,2.,0.
numal-qr-decomposition,,,,,,,0.,0.
numal-rnd_access,,,,,,,0.,0.
numal-simple_access,,,,,,,0.,0.
patdiff,,,,,,,1.,0.
sequence,,,,,,,2.,0.
sequence-cps,,,,,,,2.,0.
setrip,,,,,,,2.,0.
setrip-smallbuf,,,,,,,2.,0.

heap_words,4.06.1+multicore+bench,,4.06.1+multicore+no-effect-syntax+bench,,4.06.1+multicore+scheduling+bench,,4.06.1+scheduling+bench,
almabench,36864.,0.,32768.,0.,32768.,0.,491520.,0.
bdd,573081.,0.,573081.,0.,573081.,0.,565248.,0.
cpdf-merge,39245769.,nan,39053538.,nan,37871373.,nan,49650688.,0.
cpdf-reformat,30609141.,nan,30596853.,nan,30609141.,nan,32645632.,0.
cpdf-squeeze,28044761.,0.,28036569.,0.,28036569.,0.,43174400.,0.
cpdf-transform,10593479.,0.,10593479.,0.,10593479.,0.,19150848.,0.
jsontrip-sample,94607.,0.,94607.,0.,94607.,0.,73728.,0.
kb,212992.,0.,245760.,0.,225280.,0.,430080.,0.
kb-no-exc,270336.,nan,270336.,nan,270336.,nan,494592.,0.
lexifi-g2pp,156643.,0.,156643.,0.,152547.,0.,163328.,0.
menhir-fancy,357902.,0.,357664.,0.,357664.,0.,491520.,0.
menhir-list-errors,297347478.,nan,297658774.,nan,,,,
menhir-sql,49836494.,nan,48188043.,nan,48192139.,nan,49650688.,0.
menhir-standard,324216.,0.,323978.,0.,323978.,0.,491520.,0.
menhir-sysver,84486156.,nan,84510732.,nan,,,,
minilight,1094234.,0.,1094234.,0.,1094234.,0.,860672.,0.
numal-durand-kerner-aberth,49152.,0.,45056.,0.,49152.,0.,73728.,0.
numal-fft,50319369.,0.,50319369.,0.,50323465.,0.,85220352.,0.
numal-k-means,560227.,0.,564323.,0.,564323.,0.,596992.,0.
numal-levinson-durbin,18155498.,0.,18155498.,0.,18155498.,0.,245760.,0.
numal-lu-decomposition,4680084.,0.,4675988.,0.,4680084.,0.,8068096.,0.
numal-naive-multilayer,74082.,0.,69986.,0.,74082.,0.,73728.,0.
